repo,repo_url,stars,description,total_candidates,ai_confirmed_count,confirmed_diagram_files
arthur-ai/bench,https://github.com/arthur-ai/bench,429,A tool for evaluating LLMs,1,1,docs/source/_static/img/Reference_df.png
kennethleungty/MLOps-Specialization-Notes,https://github.com/kennethleungty/MLOps-Specialization-Notes,398,Notes for Machine Learning Engineering for Production (MLOps) Specialization course by DeepLearning.AI & Andrew Ng,2,1,assets/ML System (D. Sculley et al 2015).png
clearml/clearml-agent,https://github.com/clearml/clearml-agent,300,ClearML Agent - ML-Ops made easy. ML-Ops scheduler & orchestration solution,1,1,docs/clearml_architecture.png
aurimas13/Machine-Learning-Goodness,https://github.com/aurimas13/Machine-Learning-Goodness,282,"The Machine Learning project including ML/DL projects, notebooks, cheat codes of ML/DL, useful information on AI/AGI and codes or snippets/scripts/tasks with tips.",4,1,Public/Images/mlops.png
star-whale/starwhale,https://github.com/star-whale/starwhale,238,an MLOps/LLMOps platform,1,1,console/src/assets/search-empty.svg
DerwenAI/strwythura,https://github.com/DerwenAI/strwythura,225,"Strwythura: construct an entity-resolved knowledge graph from structured data sources and unstructured content sources, implementing an ontology pipeline, plus context engineering for optimizing AI application outcomes within a specific domain. This produces a Streamlit app, with MLOps instrumentation.",1,1,docs/assets/sys_arch.png
shreyashankar/toy-ml-pipeline,https://github.com/shreyashankar/toy-ml-pipeline,210,Toy example of an applied ML pipeline for me to experiment with MLOps tools.,1,1,toy-ml-pipeline-diagram.svg
ThomasVrancken/info9023-mlops,https://github.com/ThomasVrancken/info9023-mlops,187,"Repo centralising material for the ULiege course INFO9023 ""Machine Learning Systems Design (MLOps)"".",1,1,directed_work/01_git_cicd/img/gitflow.svg
kubeflow/kfp-tekton,https://github.com/kubeflow/kfp-tekton,182,Kubeflow Pipelines on Tekton,12,1,scripts/deploy/iks/workflow.png
prsdm/mlops-project,https://github.com/prsdm/mlops-project,177,,1,1,docs/mlops.jpg
datachecks/dcs-core,https://github.com/datachecks/dcs-core,171,Open Source Data Quality Monitoring.,2,1,docs/assets/data_check_architecture.svg
clearml/clearml-serving,https://github.com/clearml/clearml-serving,164,ClearML - Model-Serving Orchestration and Repository Solution,1,1,docs/design_diagram.png
raptor-ml/raptor,https://github.com/raptor-ml/raptor,163,Transform your pythonic research to an artifact that engineers can deploy easily.,1,1,.github/simplified-high-level.png
aws-samples/mlops-e2e,https://github.com/aws-samples/mlops-e2e,161,"MLOps End-to-End Example using Amazon SageMaker Pipeline, AWS CodePipeline and AWS CDK",3,1,docs/MLOpsOverallArchitecture.png
ML-TANGO/TANGO,https://github.com/ML-TANGO/TANGO,153,public repo for TANGO (Target Aware No-code neural network Generation and Operation framework) ,15,1,docs/media/TANGO_AutoNN_Deployment.png
khuyentran1401/reproducible-data-science,https://github.com/khuyentran1401/reproducible-data-science,151,Tutorials on creating a reproducible and maintainable data science project,3,1,image/kedro_pipeline.png
liguodongiot/ai-system,https://github.com/liguodongiot/ai-system,139,LLM/MLOps/LLMOps,1,1,llmops/images/LLMOps生命周期.png
Paulescu/build-and-deploy-real-time-feature-pipeline,https://github.com/Paulescu/build-and-deploy-real-time-feature-pipeline,136,"Develop and deploy a real-time feature pipeline in Python, using Bytewax 🐝 and Hopsworks Feature Store.",1,1,images/diagram.jpg
kingabzpro/CICD-for-Machine-Learning,https://github.com/kingabzpro/CICD-for-Machine-Learning,121,"A beginner's project on automating the training, evaluation, versioning, and deployment of models using GitHub Actions.",1,1,asset/CICD-pipeline.png
zademn/mnist-mlops-learning,https://github.com/zademn/mnist-mlops-learning,108,"In this project I played with mlflow, streamlit and fastapi to create a training and prediction app on digits",1,1,resources/arch.png
formlio/forml,https://github.com/formlio/forml,106,ForML - A development framework and MLOps platform for the lifecycle management of data science projects,1,1,docs/_static/images/serving-components.png
google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,35228,"Cross-platform, customizable ML solutions for live and streaming media.",11,1,mediapipe/modules/pose_landmark/pose_landmark_topology.svg
dotnet/machinelearning,https://github.com/dotnet/machinelearning,9326,ML.NET is an open source and cross-platform machine learning framework for .NET.,2,1,docs/specs/mlnet-cli/Images/MLNET-AutoML-Working-Diagram.png
momotech/MLN,https://github.com/momotech/MLN,1650,高性能、小巧、易上手的移动跨平台开发框架. A framework for building Mobile cross-platform apps with Lua,1,1,docs/mln_arch.png
